Сквер на проспекті Голосіївському, 5-15	Парки, сквери		Пандуси	50.4029669877851	30.519061422545434
Парк Рильського	Парки, сквери		Понижений бордюр та місця для заїзду колясок; Дитячий майданчик; Гойдалка та похила гірка для дітей з особливими потребами	50.38987694327977	30.500538355837282		так
Сквер на вул. Лятошинського, 24, 26-А, 28	Парки, сквери		Пологий заїзд, елементи інклюзивності на дитячому майданчику відсутні.	50.38077751333412	30.446139934702455		так
Сквер на просп. Голосіївський, 114, корпус 2	Парки, сквери			50.386655265595664	30.488491135337856	пандус
Сквер на просп. Голосіївський, 108	Парки, сквери			50.388140332780594	30.49457125628376		так
Сквер на розі вулиці та провулку Деміївська	Парки, сквери			50.403116093839145	30.512506003493588		так
Сквер на просп. Науки 4-А, 4-Б	Парки, сквери			50.40580376165428	30.521026806497222		так
Сквер на розі вул. Голосіївська та просп. Науки	Парки, сквери			50.40361304103756	30.524552835412837		так
Сквер на вул. Тарасівська, 23/25 	Парки, сквери		Дитячий майданчик	50.435561440753816	30.506509541437115
Сквер на вул. Паньківська	Парки, сквери			50.44036822541978	30.504906184975436		так
Сквер на просп. Глушкова, 9-В, Г, Д	Парки, сквери			50.37140906582342	30.46342374690389		так



Парк з водними об’єктами вздовж просп. Шухевича (між просп. Червоної Калини та вул. Бальзака)	Парки, сквери		Громадська вбиральня – обладнана для осіб, що пересуваються на кріслах колісних	50.496366271773546	30.58624069383461	так				так
Парк «Фестивальний (вздовж просп. Червоної Калини від вул. Лифаря до вул. Драйзера)	Парки, сквери			50.51023771981719	30.609735810044715	так
Сквер ім. В’ячеслава Веремія	Парки, сквери			50.50504067422471	30.587765389419925	так		так
Парк БК ДВРЗ	Парки, сквери			50.45206173120589	30.678258805487637	так
Парк біля озера Тельбін	Парки, сквери			50.42650779358285	30.606774039134237	так
Парк «Перемога»	Парки, сквери		Пандуси; Громадська вбиральня – кабіна для людей з інвалідністю	50.46131538716379	30.605804703898134	так				так
Парк на Микільсько-Слобідській «Зона здоров’я»	Парки, сквери		Дитячий майданчик	50.45632535743026	30.58334358034758
Парк відпочинку «Наталка» та парк відпочинку в урочищі «Наталка»	Парки, сквери		Громадська вбиральня; Тактильна смуга; Дитячий майданчик; Пандуси	50.496262639216106	30.52362278410165	так		так		так
Сквер на площі Оболонська, 6	Парки, сквери			50.500867746337235	30.50203361071293	так
Сквер по вул. Героїв Дніпра біля будинків № 35-37	Парки, сквери		Пандуси; Тактильна плитка та Тактильні напрямки руху; понижені борти між асфальтом та пішохідним переходом; візуальна розмітка сходів	50.52285119090034	30.491204760261827	так	так	так
Парк «Юність»	Парки, сквери		Дитячий майданчик інклюзивний	50.44112701942676	30.46581669580851
Парк «Потапова»	Парки, сквери			50.424659376652386	30.38742751496446	так
Парк «Совки»	Парки, сквери		Громадська вбиральня; Дитячий майданчик	50.43904493336451	30.37471504004999					так
Парк «Інтернаціональний»	Парки, сквери			50.43068513860139	30.38109148642364	так
Сквер вул. Чорнобильська, 12	Парки, сквери			50.45899550318437	30.34762355987571	так
Сквер вул. Чорнобильська, 3	Парки, сквери			50.45600277315481	30.34473805148998	так
Сквер біля школи №304 вул. Прилужна	Парки, сквери			50.460570358002286	30.341778527208703	так
Парк "Відрадний"	Парки, сквери		Дитячий майданчик; Два пандуси; Громадська вбиральня - санітарно-гігієнічне приміщення; Дитячий майданчик	50.43322017600319	30.426530821475517	так				так
Парк «Орлятко»	Парки, сквери		Поручні; Тактильна плитка	50.44421415996824	30.4277730065183			так
Парк ім. М. Зерова	Парки, сквери		Поручні; Три пандуси; Громадська вбиральня - санітарно-гігієнічне приміщення	50.430371321391526	30.469445221769078	так				так
Сквер ім. Б. Немцова	Парки, сквери		Поручні; Два пандуси	50.435322687445094	30.47316035094631	так
Сквер біля кінотеатру «Супутник»	Парки, сквери		Тактильна плитка	50.43839375107784	30.45836442789603			так
Сквер на розі вул. М. Донця та проспекту Відрадного	Парки, сквери		Тактильна плитка	50.433965467900826	30.43295019335565			так
Сквер по вул. В. Гетьмана 	Парки, сквери		Поручні; Два пандуси	50.45186191748821	30.44563877040326	так
Сквер по вул. Машинобудівній, 25-А 	Парки, сквери		Поручні; Тактильна плитка	50.4471300322941	30.43686157418796	так		так
Парк ім. Т.Г. Шевченка	Парки, сквери			50.441761123419994	30.51295167271248	так
Сквер на розі вул. О. Гончара та вул. М. Коцюбинського 	Парки, сквери		Дитячий майданчик	50.44954492711168	30.50262272514489
Сквер ім. О. Гончара	Парки, сквери			50.449088032050156	30.504319835547655	так
Сквер на вул. Січових Стрільців, 80-84	Парки, сквери			50.458028959578186	30.486572545603913	так
Сквер на вул. Січових Стрільців, 89-А	Парки, сквери			50.45801633367071	30.485509765421746	так
Парк «Веселка»	Парки, сквери		Громадська вбиральня, пандус	50.47309015045639	30.39757133502755	так				так
Парк Сирецький	Парки, сквери		Дитячий майданчик, Громадська вбиральня, Пандус	50.46764638136218	30.438645463854908	так				так
Народницький парк	Парки, сквери		Пандус в центральній частині парку	50.42912074211961	30.56887072119025	так
Парк-пам’ятка садово-паркового мистецтва «Хрещатий»	Парки, сквери			50.453306301637866	30.531668915607113	так